k,t,target_x,target_y,target_vx,target_vy,target_speed,axis_x,axis_y,axis_vx,axis_vy,axis_a,galvo_x,galvo_y,galvo_vx,galvo_vy,galvo_speed,synth_x,synth_y,synth_vx,synth_vy,error_x,error_y,error_vx,error_vy,galvo_in_square,galvo_speed_ok,axis_ok,laser_command,laser_on
25,0.025,1.6245487364620939,0.0,65.0,0.0,65.0,1.5900778481876487,0.0,62.32956354435338,0.0,-91.49282673064587,0.03447088827444511,0.0,2.670436455646623,0.0,2.670436455646623,1.6245487364620939,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
26,0.026000000000000002,1.6895306859205776,0.0,65.0,0.0,65.0,1.6523616653186368,0.0,62.23807071762273,0.0,-90.33188025115832,0.03716902060194083,0.0,2.7619292823772668,0.0,2.7619292823772668,1.6895306859205776,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
27,0.027,1.7545126353790614,0.0,65.0,0.0,65.0,1.714554570096134,0.0,62.14773883737158,0.0,-89.17356806346025,0.039958065282927446,0.0,2.852261162628423,0.0,2.852261162628423,1.7545126353790614,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
28,0.028,1.819494584837545,0.0,65.0,0.0,65.0,1.776657722149474,0.0,62.05856526930812,0.0,-88.0179763400608,0.042836862688071076,0.0,2.9414347306918813,0.0,2.9414347306918813,1.819494584837545,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
29,0.029,1.884476534296029,0.0,65.0,0.0,65.0,1.838672278430612,0.0,61.97054729296806,0.0,-86.86519014687208,0.04580425586541703,0.0,3.0294527070319432,0.0,3.0294527070319432,1.884476534296029,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
30,0.03,1.9494584837545126,0.0,65.0,0.0,65.0,1.9005993931285068,0.0,61.88368210282118,0.0,-85.71529344582066,0.0488590906260058,0.0,3.116317897178817,0.0,3.116317897178817,1.9494584837545126,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
31,0.031,2.014440433212996,0.0,65.0,0.0,65.0,1.9624402175846052,0.0,61.79796680937536,0.0,-84.56836909753989,0.05200021562839097,0.0,3.2020331906246398,0.0,3.2020331906246398,2.014440433212996,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
32,0.032,2.0794223826714804,0.0,65.0,0.0,65.0,2.0241959002094316,0.0,61.71339844027782,0.0,-83.42449886414215,0.055226482462048754,0.0,3.286601559722179,0.0,3.286601559722179,2.0794223826714804,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
33,0.033,2.1444043321299637,0.0,65.0,0.0,65.0,2.085867586400277,0.0,61.62997394141368,0.0,-82.28376341207058,0.05853674572968659,0.0,3.370026058586319,0.0,3.370026058586319,2.1444043321299637,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
34,0.034,2.2093862815884475,0.0,65.0,0.0,65.0,2.147456418459985,0.0,61.54769017800161,0.0,-81.1462423150286,0.0619298631284626,0.0,3.4523098219983908,0.0,3.4523098219983908,2.2093862815884475,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
35,0.035,2.2743682310469313,0.0,65.0,0.0,65.0,2.208963535516829,0.0,61.46654393568658,0.0,-80.01201405698586,0.06540469553010242,0.0,3.5334560643134196,0.0,3.5334560643134196,2.2743682310469313,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
36,0.036000000000000004,2.339350180505415,0.0,65.0,0.0,65.0,2.270390073445487,0.0,61.3865319216296,0.0,-78.88115603526126,0.06896010705992817,0.0,3.6134680783704027,0.0,3.6134680783704027,2.339350180505415,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
37,0.037,2.4043321299638993,0.0,65.0,0.0,65.0,2.3317371647890988,0.0,61.30765076559434,0.0,-77.75374456367975,0.07259496517480057,0.0,3.692349234405661,0.0,3.692349234405661,2.4043321299638993,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
38,0.038,2.4693140794223827,0.0,65.0,0.0,65.0,2.3930059386824114,0.0,61.22989702103066,0.0,-76.62985487580333,0.07630814073997128,0.0,3.7701029789693408,0.0,3.7701029789693408,2.4693140794223827,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
39,0.039,2.5342960288808665,0.0,65.0,0.0,65.0,2.4541975207760043,0.0,61.153267166154855,0.0,-75.50956112823489,0.08009850810486219,0.0,3.846732833845145,0.0,3.846732833845145,2.5342960288808665,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
40,0.04,2.5992779783393503,0.0,65.0,0.0,65.0,2.515313033161595,0.0,61.07775760502662,0.0,-74.39293640399377,0.0839649451777551,0.0,3.922242394973381,0.0,3.922242394973381,2.5992779783393503,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
41,0.041,2.6642599277978336,0.0,65.0,0.0,65.0,2.57635359429842,0.0,61.00336466862262,0.0,-73.28005271596206,0.08790633349941368,0.0,3.9966353313773766,0.0,3.9966353313773766,2.6642599277978336,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
42,0.042,2.7292418772563174,0.0,65.0,0.0,65.0,2.637320318940685,0.0,60.93008461590666,0.0,-72.17098101040062,0.09192155831563253,0.0,4.069915384093342,0.0,4.069915384093342,2.7292418772563174,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
43,0.043000000000000003,2.7942238267148016,0.0,65.0,0.0,65.0,2.6982143180660865,0.0,60.857913634896256,0.0,-71.06579117053363,0.09600950864871516,0.0,4.142086365103744,0.0,4.142086365103744,2.7942238267148016,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
44,0.044,2.8592057761732854,0.0,65.0,0.0,65.0,2.759036698805397,0.0,60.786847843725724,0.0,-69.96455202020093,0.10016907736788827,0.0,4.213152156274276,0.0,4.213152156274276,2.8592057761732854,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
45,0.045,2.924187725631769,0.0,65.0,0.0,65.0,2.8197885643731126,0.0,60.71688329170552,0.0,-68.86733132757702,0.10439916125865656,0.0,4.283116708294479,0.0,4.283116708294479,2.924187725631769,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
46,0.046,2.9891696750902526,0.0,65.0,0.0,65.0,2.8804710139991543,0.0,60.64801596037795,0.0,-67.77419580895562,0.10869866109109827,0.0,4.351984039622053,0.0,4.351984039622053,2.9891696750902526,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
47,0.047,3.0541516245487363,0.0,65.0,0.0,65.0,2.9410851428616276,0.0,60.58024176456899,0.0,-66.68521113259878,0.11306648168710876,0.0,4.419758235431011,0.0,4.419758235431011,3.0541516245487363,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
48,0.048,3.11913357400722,0.0,65.0,0.0,65.0,3.0016320420206304,0.0,60.51355655343639,0.0,-65.60044192264998,0.11750153198658975,0.0,4.486443446563612,0.0,4.486443446563612,3.11913357400722,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
49,0.049,3.184115523465704,0.0,65.0,0.0,65.0,3.0621127983531053,0.0,60.44795611151374,0.0,-64.51995176310938,0.12200272511259858,0.0,4.55204388848626,0.0,4.55204388848626,3.184115523465704,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
50,0.05,3.2490974729241877,0.0,65.0,0.0,65.0,3.1225284944887375,0.0,60.38343615975063,0.0,-63.44380320187071,0.12656897843545023,0.0,4.61656384024937,0.0,4.61656384024937,3.2490974729241877,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
51,0.051000000000000004,3.3140794223826715,0.0,65.0,0.0,65.0,3.1828802087468873,0.0,60.31999235654876,0.0,-62.37205775481943,0.13119921363578424,0.0,4.6800076434512405,0.0,4.6800076434512405,3.3140794223826715,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
52,0.052000000000000005,3.3790613718411553,0.0,65.0,0.0,65.0,3.2431690150745585,0.0,60.25762029879394,0.0,-61.304775909989644,0.13589235676659683,0.0,4.742379701206062,0.0,4.742379701206062,3.3790613718411553,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
53,0.053,3.444043321299639,0.0,65.0,0.0,65.0,3.3033959829853976,0.0,60.19631552288395,0.0,-60.24201713178043,0.14064733831424148,0.0,4.80368447711605,0.0,4.80368447711605,3.444043321299639,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
54,0.054,3.509025270758123,0.0,65.0,0.0,65.0,3.3635621774997153,0.0,60.13607350575217,0.0,-59.183839865228954,0.14546309325840756,0.0,4.863926494247828,0.0,4.863926494247828,3.509025270758123,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
55,0.055,3.574007220216606,0.0,65.0,0.0,65.0,3.4236686590855347,0.0,60.076889665886945,0.0,-58.130301540341634,0.15033856113107147,0.0,4.923110334113055,0.0,4.923110334113055,3.574007220216606,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
56,0.056,3.63898916967509,0.0,65.0,0.0,65.0,3.4837164836006513,0.0,60.0187593643466,0.0,-57.08145857647915,0.15527268607443867,0.0,4.9812406356534,0.0,4.9812406356534,3.63898916967509,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
57,0.057,3.7039711191335742,0.0,65.0,0.0,65.0,3.5437067022357094,0.0,59.961677905770124,0.0,-56.03736638679854,0.16026441689786486,0.0,5.038322094229876,0.0,5.038322094229876,3.7039711191335742,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
