k,t,target_x,target_y,target_vx,target_vy,target_speed,axis_x,axis_y,axis_vx,axis_vy,axis_a,galvo_x,galvo_y,galvo_vx,galvo_vy,galvo_speed,synth_x,synth_y,synth_vx,synth_vy,error_x,error_y,error_vx,error_vy,galvo_in_square,galvo_speed_ok,axis_ok,laser_enable
10,0.01,1.469485562357832,0.18670290114894778,87.69814492004838,5.612556325947854,87.87755919988757,1.492787312233205,0.0,92.69425045727931,0.0,-336.806710068562,-0.023301749875372924,0.18670290114894778,-4.996105537230932,5.612556325947854,7.514110662685695,1.469485562357832,0.18670290114894778,87.69814492004838,5.612556325947854,0.0,0.0,0.0,0.0,1,1,1,0
11,0.011,1.5569099131835693,0.19161415388041098,87.1779436281247,4.207243510881111,87.27940623760188,1.5853131593354501,0.0,92.35744374721075,0.0,-338.60580511249987,-0.028403246151880834,0.19161415388041098,-5.1795001190860575,4.207243510881111,6.67293934061023,1.5569099131835693,0.19161415388041098,87.1779436281247,4.207243510881111,0.0,0.0,0.0,0.0,1,1,1,0
12,0.012,1.6438973835606678,0.19511957351955964,86.82513507031832,2.8084826044276823,86.87054537942302,1.6775013001801047,0.0,92.01883794209826,0.0,-340.0035520253989,-0.03360391661943685,0.19511957351955964,-5.193702871779934,2.8084826044276823,5.904415640832548,1.6438973835606678,0.19511957351955964,86.82513507031832,2.8084826044276823,0.0,0.0,0.0,0.0,1,1,1,0
13,0.013000000000000001,1.7306155488860915,0.19724836842741192,86.63800262188734,1.4613985517718193,86.65032708557584,1.7693501363461903,0.0,91.67883439007286,0.0,-341.052351133654,-0.038734587460098835,0.19724836842741192,-5.040831768185527,1.4613985517718193,5.24839695928854,1.7306155488860915,0.19724836842741192,86.63800262188734,1.4613985517718193,0.0,0.0,0.0,0.0,1,1,1,0
14,0.014,1.8172240015313301,0.1980739729052533,86.60230110809992,0.2089838228327956,86.60255326176134,1.8608584445606964,0.0,91.33778203893921,0.0,-341.8187798920736,-0.043634443029366254,0.1980739729052533,-4.735480930839287,0.2089838228327956,4.740090071353954,1.8172240015313301,0.1980739729052533,86.60230110809992,0.2089838228327956,0.0,0.0,0.0,0.0,1,1,1,0
15,0.015,1.9038619603186513,0.19771091934577936,86.69165867422248,-0.9098811542181631,86.6964334180057,1.9520253172096895,0.0,90.99596325904713,0.0,-342.37839357051985,-0.048163356891038234,0.19771091934577936,-4.304304584824649,-0.9098811542181631,4.399422879622266,1.9038619603186513,0.19771091934577936,86.69165867422248,-0.9098811542181631,0.0,0.0,0.0,0.0,1,1,1,0
16,0.016,1.9906366599163432,0.1963097801675896,86.86873391352286,-1.8622930721798463,86.88869355229785,2.0428500912719514,0.0,90.65358486547662,0.0,-342.8097545887273,-0.052213431355608186,0.1963097801675896,-3.784850951953757,-1.8622930721798463,4.218202486272359,1.9906366599163432,0.1963097801675896,86.86873391352286,-1.8622930721798463,0.0,0.0,0.0,0.0,1,1,1,0
17,0.017,2.077613265635854,0.19405034105641256,87.08710141650874,-2.6229827426620584,87.12659336619092,2.1333322712601337,0.0,90.31077511088789,0.0,-343.18802243998203,-0.05571900562427956,0.19405034105641256,-3.223673694379144,-2.6229827426620584,4.155972877213596,2.077613265635854,0.19405034105641256,87.08710141650874,-2.6229827426620584,0.0,0.0,0.0,0.0,1,1,1,0
18,0.018000000000000002,2.1648070103817556,0.19113325843626938,87.29379516064895,-3.175675567187657,87.35154027753244,2.2234714523598016,0.0,89.9675870884479,0.0,-343.57847936235834,-0.05866444197804599,0.19113325843626938,-2.673791927798945,-3.175675567187657,4.151394775397233,2.1648070103817556,0.19113325843626938,87.29379516064895,-3.175675567187657,0.0,0.0,0.0,0.0,1,1,1,0
19,0.019,2.2521781585827867,0.1877705380739437,87.4323969383382,-3.5140767098669388,87.50298720332901,2.3132672502085683,0.0,89.62400860908554,0.0,-344.03039024058194,-0.06108909162578158,0.1877705380739437,-2.191611670747335,-3.5140767098669388,4.141484859103698,2.2521781585827867,0.1877705380739437,87.4323969383382,-3.5140767098669388,0.0,0.0,0.0,0.0,1,1,1,0
