k,t,target_x,target_y,target_vx,target_vy,target_speed,axis_x,axis_y,axis_vx,axis_vy,axis_a,galvo_x,galvo_y,galvo_vx,galvo_vy,galvo_speed,synth_x,synth_y,synth_vx,synth_vy,error_x,error_y,error_vx,error_vy,galvo_in_square,galvo_speed_ok,axis_ok,laser_command,laser_on
19,0.019,1.52,0.0,80.0,0.0,80.0,1.4946639552508316,0.0,77.42099320409984,0.0,-121.13289601227837,0.025336044749168396,0.0,2.579006795900156,0.0,2.579006795900156,1.52,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
20,0.02,1.6,0.0,80.0,0.0,80.0,1.5720243820069253,0.0,77.29986030808756,0.0,-119.6859983623644,0.027975617993074797,0.0,2.7001396919124403,0.0,2.7001396919124403,1.6,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
21,0.021,1.68,0.0,80.0,0.0,80.0,1.6492643993158318,0.0,77.18017430972519,0.0,-118.24169712301482,0.03073560068416814,0.0,2.8198256902748113,0.0,2.8198256902748113,1.68,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
22,0.022,1.76,0.0,80.0,0.0,80.0,1.7263854527769955,0.0,77.06193261260218,0.0,-116.80010648130362,0.0336145472230045,0.0,2.9380673873978225,0.0,2.9380673873978225,1.76,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
23,0.023,1.84,0.0,80.0,0.0,80.0,1.803388985336357,0.0,76.94513250612087,0.0,-115.3613392443964,0.03661101466364314,0.0,3.0548674938791294,0.0,3.0548674938791294,1.84,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
24,0.024,1.92,0.0,80.0,0.0,80.0,1.8802764371728555,0.0,76.82977116687647,0.0,-113.92550684215607,0.0397235628271444,0.0,3.170228833123531,0.0,3.170228833123531,1.92,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
25,0.025,2.0,0.0,80.0,0.0,80.0,1.9570492455863109,0.0,76.71584566003432,0.0,-112.49271932985592,0.04295075441368912,0.0,3.2841543399656814,0.0,3.2841543399656814,2.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
26,0.026000000000000002,2.08,0.0,80.0,0.0,80.0,2.0337088448866805,0.0,76.60335294070447,0.0,-111.06308539099878,0.046291155113319604,0.0,3.396647059295532,0.0,3.396647059295532,2.08,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
27,0.027,2.16,0.0,80.0,0.0,80.0,2.1102566662846898,0.0,76.49228985531347,0.0,-109.63671234024194,0.04974333371531037,0.0,3.507710144686527,0.0,3.507710144686527,2.16,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
28,0.028,2.24,0.0,80.0,0.0,80.0,2.1866941377838334,0.0,76.38265314297323,0.0,-108.21370612642411,0.053305862216166844,0.0,3.6173468570267744,0.0,3.6173468570267744,2.24,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
29,0.029,2.32,0.0,80.0,0.0,80.0,2.2630226840737433,0.0,76.2744394368468,0.0,-106.79417133569791,0.056977315926256544,0.0,3.725560563153195,0.0,3.725560563153195,2.32,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
30,0.03,2.4,0.0,80.0,0.0,80.0,2.339243726424922,0.0,76.16764526551111,0.0,-105.37821119475916,0.060756273575077735,0.0,3.832354734488888,0.0,3.832354734488888,2.4,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
31,0.031,2.48,0.0,80.0,0.0,80.0,2.415358682584836,0.0,76.06226705431635,0.0,-103.96592757417963,0.06464131741516388,0.0,3.937732945683649,0.0,3.937732945683649,2.48,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
32,0.032,2.56,0.0,80.0,0.0,80.0,2.491368966675365,0.0,75.95830112674217,0.0,-102.55742099183662,0.06863103332463494,0.0,4.041698873257829,0.0,4.041698873257829,2.56,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
33,0.033,2.64,0.0,80.0,0.0,80.0,2.5672759890916113,0.0,75.85574370575033,0.0,-101.15279061643906,0.07272401090838887,0.0,4.144256294249672,0.0,4.144256294249672,2.64,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
34,0.034,2.72,0.0,80.0,0.0,80.0,2.6430811564020535,0.0,75.75459091513389,0.0,-99.75213427115172,0.07691884359794665,0.0,4.245409084866111,0.0,4.245409084866111,2.72,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
35,0.035,2.8,0.0,80.0,0.0,80.0,2.718785871250052,0.0,75.65483878086273,0.0,-98.3555484373111,0.08121412874994771,0.0,4.3451612191372675,0.0,4.3451612191372675,2.8,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
36,0.036000000000000004,2.88,0.0,80.0,0.0,80.0,2.794391532256696,0.0,75.55648323242542,0.0,-96.96312825823729,0.08560846774330377,0.0,4.443516767574579,0.0,4.443516767574579,2.88,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
37,0.037,2.96,0.0,80.0,0.0,80.0,2.8698995339249924,0.0,75.45952010416718,0.0,-95.5749675431367,0.09010046607500755,0.0,4.540479895832817,0.0,4.540479895832817,2.96,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
38,0.038,3.04,0.0,80.0,0.0,80.0,2.945311266545388,0.0,75.36394513662404,0.0,-94.19115877109442,0.09468873345461182,0.0,4.636054863375961,0.0,4.636054863375961,3.04,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1
